avg_load,max_load,proc_cpu,mem_used_pct,procs_running,procs_blocked,loadavg1,loadavg5,loadavg15,psi_cpu_some,psi_cpu_full,proc_vms_kb,proc_rss_kb,proc_threads,proc_read_bytes,proc_write_bytes,boost_level
70,95,725.0,19.982942926403148,14,1,7.2,2.78,1.14,4.01,0.0,7122072,1016432.0,108.0,4096.0,307200.0,3
61,95,738.0,20.45978267322608,9,0,7.2,2.78,1.14,4.01,0.0,7159100,1132800.0,115.0,4096.0,307200.0,3
76,91,699.0,21.03171099061237,6,0,7.2,2.78,1.14,4.37,0.0,7263944,1231280.0,116.0,4096.0,544768.0,3
41,99,669.0,21.624742385306277,5,1,7.2,2.78,1.14,4.37,0.0,7275856,1325396.0,120.0,4096.0,548864.0,3
49,97,632.0,22.64804207843859,7,0,7.2,2.78,1.14,4.37,0.0,7338628,1429112.0,125.0,4096.0,565248.0,3
42,97,683.0,23.342946957440137,20,0,7.2,2.78,1.14,4.37,0.0,7594588,1595064.0,177.0,4096.0,638976.0,3
80,98,672.0,24.17000798724037,1,0,7.43,2.9,1.19,5.03,0.0,7882284,1693348.0,173.0,4096.0,724992.0,3
10,40,424.0,15.83583901195691,5,0,7.43,2.9,1.19,4.12,0.0,4872328,250184.0,62.0,0.0,28672.0,3
37,92,535.0,16.80994808044314,6,0,7.43,2.9,1.19,4.12,0.0,6501848,504388.0,84.0,0.0,270336.0,3
69,98,722.0,18.982292871799554,8,0,7.43,2.9,1.19,4.12,0.0,7047152,911248.0,100.0,0.0,303104.0,3
66,93,751.0,20.15867718128741,23,1,7.43,2.9,1.19,3.55,0.0,7114736,1072412.0,109.0,0.0,307200.0,3
76,89,744.0,20.778823286422643,6,0,7.43,2.9,1.19,3.55,0.0,7218288,1179508.0,110.0,0.0,307200.0,3
39,79,697.0,21.225829368399364,8,0,7.39,2.97,1.22,3.55,0.0,7231408,1265376.0,111.0,0.0,544768.0,3
46,82,662.0,21.695285532618225,19,0,7.39,2.97,1.22,3.55,0.0,7257808,1334460.0,116.0,0.0,557056.0,3
45,94,629.0,22.738915022447596,9,0,7.39,2.97,1.22,4.36,0.0,7321756,1463632.0,121.0,0.0,573440.0,3
72,97,680.0,23.89521898059665,30,0,7.39,2.97,1.22,4.36,0.0,7893652,1652060.0,190.0,131072.0,679936.0,3
54,95,647.0,24.32608594789486,1,0,7.39,2.97,1.22,4.36,0.0,7893784,1704756.0,183.0,131072.0,761856.0,3
12,44,572.0,15.796651146176476,5,0,7.39,2.97,1.22,4.65,0.0,5287984,302736.0,65.0,0.0,45056.0,3
38,71,623.0,17.14176029598189,16,0,7.28,3.02,1.24,3.81,0.0,6625888,605172.0,82.0,0.0,303104.0,3
68,97,709.0,19.52146901364815,7,1,7.28,3.02,1.24,3.81,0.0,7089768,967572.0,99.0,0.0,327680.0,3
